ga:userType,ga:fullReferrer,ga:source,ga:medium,ga:networkDomain,ga:networkLocation,ga:landingPagePath,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:timeOnPage,isSpam
New Visitor,(direct),(direct),(none),db.com,deutsche bank,/development/2013-07-17-SoapUI-Development-Process,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),de,arvato-infra,/,9,33.33333333333333,3.2222222222222223,785.0,0
New Visitor,(direct),(direct),(none),de,sewikom gmbh,/collections/Reisen/2010-08-Tour-de-Scandinavie/Etappe-5-Stockholm-Uppsala-Sandviken-Jadraas,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),dion.ne.jp,kddi corporation,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),dnainternet.fi,sofokus oy,/development/Docker/Dockerize-Magento/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),domaintools.com,domaintools llc,/,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),dsl4u.ca,st&j retail,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),eastern-tele.com,eastern telecom philippines inc.,/,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),eastern-tele.com,eastern telecom philippines inc.,/development/Docker/Getting+Started,1,0.0,3.0,1845.0,0
New Visitor,(direct),(direct),(none),edu.ie,heanet limited,/,1,0.0,2.0,600.0,0
New Visitor,(direct),(direct),(none),eha.net,vattenfall europe information services gmbh,/development/JavaScript/Migrating+from+PrototypeJS+to+jQuery,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),emc.com,information management group,/development/Docker,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),entelpcs.cl,entel pcs telecomunicaciones s.a.,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),entrust.com,allstream corp.,/development,1,0.0,4.0,27.0,0
New Visitor,(direct),(direct),(none),enviatel.net,cns,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ertelecom.ru,cjsc er-telecom holding rostov-na-donu branch,/development/BitTorrent-Sync/Run-Bittorrent-Sync-as-a-service-on-CentOS,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),eurorings.net,kpn b.v.,/development/Docker/Dockerize-Magento,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),euskaltel.es,euskaltel s.a.,/development/Microsoft+SQL+Server,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),evnhanoi.vn,fpt telecom company,/development/Magento/2013-03-15+Deploying+Magento+Modules+with+modman,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ewe-ip-backbone.de,ewe tel gmbh,/development/Docker/Dockerize-Magento,1,0.0,2.0,27.0,0
New Visitor,(direct),(direct),(none),ewe-ip-backbone.de,ewe-tel,/random/2014-03-26+Rubik-Cube+Anleitung,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ewe-ip-backbone.de,medico-lab gmb,/development/Windows/Proxy+Configuration+via+Command+Line,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ewe-ip-backbone.de,osnatel-subnet for dsl dial-up,/development/Windows/Windows+10+Installation,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),f5networks.net,f5 networks inc.,/development/SSL,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),farlep.net,nikolaev aluminia plant,/development/Windows/Proxy+Configuration+via+Command+Line,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ge.com,general electric company,/,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),getinternet.no,get as,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),google.com,google inc.,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),googlebot.com,google inc.,/,3,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),googlebot.com,google inc.,/about,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),googlebot.com,google inc.,/collections/Reisen/2011-11+Strand+Urlaub+im+Magic+Life+Waterworld+Belek,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),googleusercontent.com,google inc.,/collections/Konzerte/2010-12-11+The+Picturebooks+Forum+Bielefeld,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),gvt.net.br,global village telecom,/,3,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),gvt.net.br,global village telecom,/development/Atom+Editor/Refactoring+with+Search+and+Replace+Preview,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),haufe.de,arvato-infra,/,9,44.44444444444444,2.3333333333333335,812.0,0
New Visitor,(direct),(direct),(none),himla.se,connectel ab,/collections/Stockholm/Moderna+Museet/Moderna-Museet-Stockholm-2006-05-06,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),hinet.net,taipei taiwan,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),homenett.com.br,homenet telecomunica es ltda,/development/JavaScript/Migrating-from-PrototypeJS-to-jQuery,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),hpqcorp.net,hewlett-packard company,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),hti.pl,horyzont technologie internetowe,/development/Docker/Dockerize-Magento,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),ihk.de,ihk gesellschaft fuer informationsverarbeitung mbh,/development/Mac+OS/2014-01-30+Change+Default+Screenshot+Folder,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),imsmultimedia.eu,ims multimedia s.c.,/development/Docker/Dockerize-Magento,1,0.0,2.0,61.0,0
New Visitor,(direct),(direct),(none),infopardall.com.br,infopardall ltda me,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),innovations.de,bosch software innovations gmbh,/development/2013-07-17+SoapUI+Development+Process,2,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),inode.at,siegmar m. ortner,/random/2014-03-26+Rubik-Cube+Anleitung,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),inter.net,inter.net germany gmbh berlin adsl access,/collections/Stockholm,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),iskratelecom.ru,iskratelecom / iskra-net,/development/CentOS/Change-System-Language,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),iveloz.net.br,victor.net telecomunica??,/development/JavaScript,1,0.0,2.0,181.0,0
New Visitor,(direct),(direct),(none),j-a.de,tsbs gmbh fuer sueverkruep & ahrendt gmbh & co. kg,/collections/Festivals/Hurricane-Festival-2011,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),jazztel.es,jazztel triple play services,/,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),k-plus-s.com,k+s it-services gmbh,/development/Windows/Proxy+Configuration+via+Command+Line,1,100.0,1.0,0.0,0
New Visitor,(direct),(direct),(none),kabel-badenwuerttemberg.de,kabel baden-wuerttemberg gmbh & co. kg,/development/JavaScript/Migrating+from+PrototypeJS+to+jQuery,1,0.0,4.0,680.0,0
